1,1,1,1,2,1,1
2,2,1,0,0,1,4
3,1,1,2,3,1,2
4,2,1,0,0,1,0
5,2,1,0,0,1,0
6,2,1,0,0,1,0
7,2,1,0,0,1,0
8,2,1,0,0,1,0
9,2,1,0,0,1,0
10,2,1,0,0,1,0
11,2,1,0,0,1,0
12,2,1,0,0,1,0
13,2,1,0,0,1,0
14,2,1,0,0,1,0
15,1,1,1,1,1,0
16,1,1,1,1,1,0
17,1,1,1,1,1,0
18,1,1,1,1,1,0
19,1,1,1,1,1,0
20,1,1,1,1,1,0
21,1,1,1,1,1,0
22,1,1,1,1,1,0
23,1,1,1,1,1,0
24,1,1,1,1,1,0
25,1,1,1,1,1,0
26,1,1,1,1,1,0
27,1,1,1,1,1,0
28,0,0,0,0,1,0
29,1,1,1,1,1,0
30,1,1,1,1,1,0
31,1,1,1,1,1,0
32,1,1,1,1,1,0
33,0,0,0,0,1,1
34,1,1,1,1,1,3
35,1,1,1,1,1,3
36,1,1,1,1,1,3
37,1,1,1,1,1,3
38,1,1,1,1,1,3
39,1,1,1,1,1,3
40,1,1,1,1,1,3
41,1,1,1,1,1,3
42,1,1,1,1,1,3
43,1,1,1,1,1,3
44,1,1,1,1,1,3
45,1,1,1,1,1,3
46,1,1,1,1,1,3
47,1,1,1,1,1,3
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,1,1,1,1,1,0
112,1,1,1,1,1,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,1,1,1,2,1,0
116,1,1,1,2,1,0
